id,Domisili,Apakah Anda Mahasiswa / Fresh Graduate,Pekerjaan & Instansi Saat Ini,Tools yang Ingin Dipelajari,Target Join Komunitas,Tau Seara Data Dari Mana?,Provinsi,Cari Kerja
467,Palangkaraya,Tidak,Karyawan Swasta,"SQL, Tableau","Upskill, Switch Career",LinkedIn,Kalimantan Tengah ,0
468,Medan,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Sumatera Utara,1
469,Bekasi,Ya,Badan Pusat Statistik (BPS),"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
470,Sragen,Ya,Follow Up Marketing / CV Ranotex,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Tengah,1
471,Jakarta,Ya,Freelance tutor,"SQL, Python, Power BI, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
472,Bekasi ,Ya,Mahasiswa ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",Teman,Jawa Barat,1
473,Jakarta,Ya,Telkom University ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Aiven","Cari Kerja, Upskill, Networking",LinkedIn,Jakarta,1
474,Jakarta Timur ,Ya,Administrasi Klinik Umum,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
475,Garut,Tidak,Unit layanan BPJS ketenagakerjaan garut,"Excel, SQL, Python, Power BI, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
476,Jakarta,Tidak,Business data analyst,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jakarta,1
477,Purwokerto,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
478,surabaya,Ya,Mahasiswa ,"Excel, SQL, Python, Looker Studio, Databases, Tableau",Upskill,LinkedIn,Jawa Timur,0
479,Jakarta,Tidak,-,"Excel, SQL, Python, Power BI, Databases, Tableau","Upskill, Networking",LinkedIn,Jakarta,0
480,Malang ,Ya,Universitas Negeri Malang ,"Excel, SQL, Python, Power BI",Upskill,Teman,Jawa Timur,0
481,Tangerang ,Ya,-,"Excel, Power BI, Looker Studio, Tableau","Upskill, Networking, Switch Career",LinkedIn,Banten,0
482,Jombang,Ya,Belum bekerja,"Excel, SQL, Python, Databases, Tableau","Cari Kerja, Upskill, Networking",Instagram,Jawa Timur,1
483,Jawa Timur ,Ya,-,Excel,Upskill,Teman,Jawa Timur,0
